Bait,Antoine Fuqua
Bruce Almighty,Tom Shadyac
Surviving Christmas,Mike Mitchell
Soapdish,Michael Hoffman
Eddie Murphy: Delirious,Bruce Gowers
Delirious,Bruce Gowers
The Ladies Man,Reginald Hudlin
Mouth Appeal,Ken Shapiro
Koko the Clown,Ken Shapiro
Wasted,Ken Shapiro
The Groove Tube,Ken Shapiro
Geritan,Ken Shapiro
Kramp TV Kitchen,Ken Shapiro
Channel One Evening News,Ken Shapiro
The Koko Show,Ken Shapiro
The Dealers,Ken Shapiro
I'm Looking Over a Four Leaf Clover,Ken Shapiro
Brown 25,Ken Shapiro
Wild World of Sports,Ken Shapiro
The Trial of N.W.H.,Rusty Cundieff
Fear of a Black Hat,Rusty Cundieff
Death Becomes Her,Robert Zemeckis
Under the Sand,François Ozon
Trees Lounge,Steve Buscemi
Camp,Todd Graff
The Master of Disguise,Perry Andelin Blake
Twin Dragons,Ringo LamHark Tsui
Garth Marenghi's Darkplace,Richard Ayoade
Get Real,Simon Shore
Life-Size,Mark Rosman
Into Great Silence,Philip Gröning
Dead Men Don't Wear Plaid,Carl Reiner
The Birdcage,Mike Nichols
Hide and Creep,Chance ShirleyChuck Hartsell
Reign of Fire,Rob Bowman
Where Heroes Go Down,Rob Bowman
Our Lucky Break,Peter Cattaneo
Reaper,Mike RohlRon UnderwoodJohn FortenberryFred GerberPeter LauerMichael Patrick JannJeff MelmanMichael GrossmanStephen CraggMichael RobisonVictoria HochbergRobert BerlingerJamie BabbitKevin DowlingTom CheronesJames HeadTom SpezialyKevin Smith
Scary Movie 4,David Zucker
Stanley Kubrick's A Clockwork Orange,Stanley Kubrick
A Clockwork Orange,Stanley Kubrick
Alfred Hitchcock's The Trouble with Harry,Alfred Hitchcock
The Trouble with Harry,Alfred Hitchcock
The Trouble with Harry,Alfred Hitchcock
Wordplay,Patrick Creadon
Word Play,Patrick Creadon
Analyze This,Harold Ramis
My Cousin Vinny,Jonathan Lynn
Penelope,Rian Johnson
The Brothers Bloom,Rian Johnson
Sky Kids,Rocco DeVilliers
The Haunted Mansion,Rob Minkoff
Disney's The Haunted Mansion,Rob Minkoff
Inconvenience,Kevin Smith
Clerks X: Tenth Anniversary Edition,Kevin Smith
Rude Clarks,Kevin Smith
Clerks.,Kevin Smith
Clerks,Kevin Smith
cLeRKs,Kevin Smith
The Anarchist,Jordan Susman
The Anarchist Cookbook,Jordan Susman
Shooting Fish,Stefan Schwartz
Papi chulo,Linda Mendoza
Chasing Papi,Linda Mendoza
Kilronan,Jonathan Darby
Bloodline,Jonathan Darby
Hush,Jonathan Darby
A Power Tool Is Not a Toy,Bobby FarrellyPeter Farrelly
Misled and Uninformed,Bobby FarrellyPeter Farrelly
Dumb Happens,Bobby FarrellyPeter Farrelly
Dumb and Dumber,Bobby FarrellyPeter Farrelly
The Road to Wellville,Alan Parker
The Love Guru,Marco Schnabel
Untitled Mike Myers Project,Marco Schnabel
Little Britain,Steve BendelackMatt LucasGraham LinehanDeclan LowneyGeoff PosnerMatt Lipsey
Anger Management,Peter Segal
Ace Ventura: Pet Detective,Tom Shadyac
Ski School 2,David Mitchell
Kisses and Caroms,Vincent Rocca
Kisses & Caroms,Vincent Rocca
Coneheads,Steve Barron
10 Items or Less,Nancy Hower
Stir Crazy,Sidney Poitier
Prison Rodeo,Sidney Poitier
Adam Sandler's Happy Gilmore,Dennis Dugan
Happy Gilmore,Dennis Dugan
The Boys from Brooklyn,William Beaudine
White Women of the Lost Jungle,William Beaudine
Bela Lugosi Meets a Brooklyn Gorilla,William Beaudine
The Monster Meets the Gorilla,William Beaudine
You Don't Mess with the Zohan,Dennis Dugan
Date Movie,Jason FriedbergAaron Seltzer
Untitled Aaron Seltzer/Jason Friedberg Project,Jason FriedbergAaron Seltzer
Why Do Some Women Have Trouble Reaching an Orgasm?,Woody Allen
Do Aphrodisiacs Work?,Woody Allen
What Makes a Man a Homosexual?,Woody Allen
What Is Sodomy?,Woody Allen
Are the Findings of Doctors and Clinics Who Do Sexual Research and Experiments Accurate?,Woody Allen
Are Transvestites Homosexuals?,Woody Allen
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Woody Allen
Everything You Always Wanted to Know About Sex,Woody Allen
What Happens During Ejaculation?,Woody Allen
What Are Sex Perverts?,Woody Allen
Balls of Fury,Robert Ben Garant
Bob Baily's Disco Balls,Aaron SeltzerJason Friedberg
Epic Movie,Aaron SeltzerJason Friedberg
Bob Bailey,Aaron SeltzerJason Friedberg
Farce of the Penguins,Bob Saget
I Know What You Screamed Last Semester,John Blanchard
I Know What You Did Last Friday the 13th,John Blanchard
Shriek If You Know What I Did Last Friday the Thirteenth,John Blanchard
I Know What You Screamed Last Summer,John Blanchard
Shriek If You Know What I Did Last Friday the 13th,John Blanchard
